Data;Região;Tipologia;Nº Utentes;ID
2020-01-24;NORTE;RAMa;20;2020-01-24T00:00:00/NORTE/RAMa
2020-01-24;ALENTEJO;ECCI;13;2020-01-24T00:00:00/ALENTEJO/ECCI
2020-01-24;ALENTEJO;UCP;8;2020-01-24T00:00:00/ALENTEJO/UCP
2020-01-24;ALENTEJO;UMDR;21;2020-01-24T00:00:00/ALENTEJO/UMDR
2020-01-24;ALGARVE;UC;11;2020-01-24T00:00:00/ALGARVE/UC
2020-01-24;CENTRO;ULDM;269;2020-01-24T00:00:00/CENTRO/ULDM
2020-01-24;LISBOA E VALE DO TEJO;UC;113;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-24;LISBOA E VALE DO TEJO;ULDM;273;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-24;NORTE;UC;27;2020-01-24T00:00:00/NORTE/UC
2020-01-24;ALENTEJO;UC;59;2020-01-24T00:00:00/ALENTEJO/UC
2020-01-24;CENTRO;RAMo;2;2020-01-24T00:00:00/CENTRO/RAMo
2020-01-24;LISBOA E VALE DO TEJO;RA;2;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/RA
2020-01-24;LISBOA E VALE DO TEJO;RAMa;14;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-24;LISBOA E VALE DO TEJO;UCP;28;2020-01-24T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-01-24;NORTE;UCP;17;2020-01-24T00:00:00/NORTE/UCP
2020-01-23;CENTRO;UC;43;2020-01-23T00:00:00/CENTRO/UC
2020-01-23;CENTRO;ULDM;271;2020-01-23T00:00:00/CENTRO/ULDM
2020-01-23;LISBOA E VALE DO TEJO;ULDM;278;2020-01-23T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-23;NORTE;ULDM;113;2020-01-23T00:00:00/NORTE/ULDM
2020-01-23;ALGARVE;UMDR;9;2020-01-23T00:00:00/ALGARVE/UMDR
2020-01-23;CENTRO;ECCI;37;2020-01-23T00:00:00/CENTRO/ECCI
2020-01-23;LISBOA E VALE DO TEJO;RAMa;14;2020-01-23T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-23;LISBOA E VALE DO TEJO;UC;112;2020-01-23T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-23;ALENTEJO;UCP;10;2020-01-23T00:00:00/ALENTEJO/UCP
